Hall,Type,Max Students,# of Floors,Avg Room Size,Availability,Contract Type
Helyar House,Traditional Residence Hall,40,2,12 x 15,"First-year students, Continuing students",Undergraduate Academic Year (Two Semesters)
Henderson Apartments,Apartment,274,4,12 x 16,"Continuing students, Douglass Residential College (DRC)",Undergraduate Academic Year (Two Semesters)
Jameson Hall ,Traditional Residence Hall,280," Jameson G (2 Floors), Jameson W (3 Floors)",Varies,"Continuing students, Douglass Residential College (women only)",Undergraduate Academic Year (Two Semesters)
Katzenbach Hall,Traditional Residence Hall,236,4,11 x 14,"Douglass Residential College (Co-ed), First-year students",Undergraduate Academic Year (Two Semesters)
Lippincott Hall ,Traditional Residence Hall,238,4,11 x 14,First-year students,Undergraduate Academic Year (Two Semesters)
New Gibbons Hall,Traditional Residence Hall,442,3,13 x 16,"First-year students, Continuing students",Undergraduate Academic Year (Two Semesters)
Newell Apartments,Apartment,982,2,13x 11,Continuing students,Undergraduate Academic Year (Two Semesters)
Nicholas Hall ,Traditional Residence Hall,230,3,11 x 16,"First-year students, Transfer students",Undergraduate Academic Year (Two Semesters)
Perry Hall,Traditional Residence Hall,174,4,11 x 18,First-year students,Undergraduate Academic Year (Two Semesters)
Starkey Apartments,Apartment,384 (undergraduates/graduates),3,11 x 18,"Continuing students, Single graduate students","Undergraduate Academic Year (Two Semesters), Graduate Full Calendar Year – 12 Month Contracts (Two semesters and all breaks)"
Voorhees Hall,Traditional Residence Hall,222,4,11 x 16,First-year students,Undergraduate Academic Year (Two Semesters)
Woodbury Bunting-Cobb Hall,Traditional Residence Hall, 228,3,11 x 16,"First-year students, Douglass Residential College (women only), Continuing students",Undergraduate Academic Year (Two Semesters)
 Livingston Apartments,Apartments,1488,Up to 7,Varies,Continuing Students; Single Graduate,"Undergraduate Academic Year (9 months; two semesters); Graduate Academic Year (9 months); Graduate Full Calendar Year (12 months, two semesters and all breaks)"
Lynton Towers (North and South),Traditional Residence Hall,343,7,Varies,First-year and continuing students,Undergraduate Academic Year (Two Semesters)
Lynton Towers (North and South),Traditional Residence Hall,343,7,Varies, First-year and continuing students,Undergraduate Academic Year (Two Semesters)
Quad I,Traditional Residence Hall,468,5,14 x 15,First-year and continuing students,Undergraduate Academic Year (Two semesters)
Quad II,Traditional Residence Hall,505,5,14 x 15,First-year and continuing students,Undergraduate Academic Year (Two semesters)
Quad III,Traditional Residence Hall,494,5,14 x 15, First-year and continuing students,Undergraduate Academic Year (Two semesters)
Brett Hall,Traditional Residence Hall,216,4,16 x 12,"Continuing students, Honors students",Undergraduate Academic Year (Two Semesters)
Campbell Hall,Traditional Residence Hall,328,6,19 x 12,First-year students,Undergraduate Academic Year (Two Semesters)
Clothier Hall,Traditional Residence Hall,378,8,16 x 12,Continuing students,Undergraduate Academic Year (Two Semesters)
Demarest Hall,Traditional Residence Hall,170,3,Varies,"Continuing students, First-year students",Undergraduate Academic Year (Two Semesters)
Frelinghuysen Hall,Traditional Residence Hall,328,6,19 x 12,First-year students,Undergraduate Academic Year (Two Semesters)
Hardenbergh Hall,Traditional Residence Hall,328,6,19 x 12,Continuing students,Undergraduate Academic Year (Two Semesters)
Hegeman Hall,Traditional Residence Hall,73,3,Varies,Continuing students,Undergraduate Academic Year (Two Semesters)
Honors College ,Traditional Residence Hall,542,5 (4 residential),Varies,First-year Honors College students,Undergraduate Academic Year (Two semesters)
Leupp Hall,Traditional Residence Hall,39,3,18 x 11,Continuing students,Undergraduate Academic Year (Two Semesters)
Mettler Hall ,Traditional Residence Hall, 202,4,16 x 12,"First-year students, Continuing students",Undergraduate Academic Year (Two Semesters)
Pell Hall,Traditional Residence Hall,60,3,19 x 12,Continuing students,Undergraduate Academic Year (Two Semesters)
 Sojourner Truth Apartments,Apartment,436,13 residential floors,Varies,Continuing students,Undergraduate Academic Year (9 month – Two Semesters)
Stonier Hall,Traditional Residence Hall,170,5,16 x 12,"First-year students, Continuing students",Undergraduate Academic Year (Two Semesters)
Tinsley Hall,Traditional Residence Hall,203,4,16 x 12,First-year students,Undergraduate Academic Year (Two Semesters)
University Center at Easton Avenue Apartments,Apartment,649,12,12 x 18,Continuing students,Undergraduate Academic Year (Two Semesters)
Wessels Hall ,Traditional Residence Hall,60,3,19 x 12,Continuing students,Undergraduate Academic Year (Two Semesters)
Allen Hall,Traditional Residence Hall,217,4,18 x 12,First-year students,Undergraduate Academic Year (Two Semesters)
Barr Hall,Traditional Residence Hall,220,4,18 x 12,Special Interest Section,Undergraduate Academic Year (Two Semesters)
